START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/12/2016,1:00 PM,1:00 PM,Ny Islanders at Boston,TD Garden - Boston - MA,MSG+ /  NESN,03/12/2016,03/12/2016,4:00 PM,4:00 PM,FALSE,TRUE,03/12/2016,12:00 PM,12:00 PM,FREE,BUSY
03/15/2016,7:00 PM,10:00 PM,Boston at San Jose,SAP Center at San Jose - San Jose - CA,NBCSN /  NESN,03/15/2016,03/16/2016,10:00 PM,1:00 AM,FALSE,TRUE,03/15/2016,6:00 PM,9:00 PM,FREE,BUSY
03/18/2016,7:00 PM,10:00 PM,Boston at Anaheim,Honda Center - Anaheim - CA,NESN /  PRIME / FS-SD,03/18/2016,03/19/2016,10:00 PM,1:00 AM,FALSE,TRUE,03/18/2016,6:00 PM,9:00 PM,FREE,BUSY
03/19/2016,7:30 PM,10:30 PM,Boston at Los Angeles,STAPLES Center - Los Angeles - CA,NESN /  FS-W,03/19/2016,03/20/2016,10:30 PM,1:30 AM,FALSE,TRUE,03/19/2016,6:30 PM,9:30 PM,FREE,BUSY
03/23/2016,8:00 PM,8:00 PM,Boston at Ny Rangers,Madison Square Garden - New York - NY,NBCSN,03/23/2016,03/23/2016,11:00 PM,11:00 PM,FALSE,TRUE,03/23/2016,7:00 PM,7:00 PM,FREE,BUSY
03/24/2016,7:00 PM,7:00 PM,Florida at Boston,TD Garden - Boston - MA,TVAS /  FS-F /  NESN,03/24/2016,03/24/2016,10:00 PM,10:00 PM,FALSE,TRUE,03/24/2016,6:00 PM,6:00 PM,FREE,BUSY
03/26/2016,7:00 PM,7:00 PM,Boston at Toronto,Air Canada Centre - Toronto - ON,HNIC /  NESN,03/26/2016,03/26/2016,10:00 PM,10:00 PM,FALSE,TRUE,03/26/2016,6:00 PM,6:00 PM,FREE,BUSY
03/29/2016,7:00 PM,7:00 PM,Boston at New Jersey,Prudential Center - Newark - NJ,TVAS /  NESN /  MSG,03/29/2016,03/29/2016,10:00 PM,10:00 PM,FALSE,TRUE,03/29/2016,6:00 PM,6:00 PM,FREE,BUSY
04/01/2016,7:00 PM,8:00 PM,Boston at St Louis,Scottrade Center - St. Louis - MO,NESN /  FS-MW,04/01/2016,04/01/2016,10:00 PM,11:00 PM,FALSE,TRUE,04/01/2016,6:00 PM,7:00 PM,FREE,BUSY
04/03/2016,11:30 AM,12:30 PM,Boston at Chicago,United Center - Chicago - IL,NBC / TVAS,04/03/2016,04/03/2016,2:30 PM,3:30 PM,FALSE,TRUE,04/03/2016,10:30 AM,11:30 AM,FREE,BUSY
04/05/2016,7:00 PM,7:00 PM,Carolina at Boston,TD Garden - Boston - MA,FS-CR /  NESN,04/05/2016,04/05/2016,10:00 PM,10:00 PM,FALSE,TRUE,04/05/2016,6:00 PM,6:00 PM,FREE,BUSY
04/07/2016,7:00 PM,7:00 PM,Detroit at Boston,TD Garden - Boston - MA,TVAS /  FS-D /  NESN,04/07/2016,04/07/2016,10:00 PM,10:00 PM,FALSE,TRUE,04/07/2016,6:00 PM,6:00 PM,FREE,BUSY
04/09/2016,12:30 PM,12:30 PM,Ottawa at Boston,TD Garden - Boston - MA,HNIC /  RDS /  NESN,04/09/2016,04/09/2016,3:30 PM,3:30 PM,FALSE,TRUE,04/09/2016,11:30 AM,11:30 AM,FREE,BUSY
